10,  0581, 0276, 0269, 0260, 0265, 0269, 0265, 0262, 0258, 0261, 0256, 0257
20,  0327, 0300, 0300, 0254, 0241, 0249, 0240, 0246, 0259, 0254, 0240, 0240
30,  0381, 0341, 0338, 0255, 0258, 0256, 0255, 0254, 0253, 0256, 0254, 0238
40,  0413, 0378, 0378, 0265, 0265, 0248, 0248, 0267, 0268, 0265, 0267, 0243
50,  0468, 0420, 0417, 0277, 0277, 0259, 0260, 0278, 0282, 0286, 0278, 0246
60,  0508, 0457, 0456, 0289, 0290, 0260, 0261, 0290, 0289, 0293, 0290, 0256
70,  0564, 0499, 0496, 0301, 0302, 0271, 0273, 0301, 0304, 0303, 0302, 0255
80,  0601, 0536, 0535, 0312, 0312, 0272, 0273, 0314, 0317, 0312, 0314, 0262
90,  0649, 0577, 0574, 0323, 0325, 0284, 0285, 0325, 0325, 0331, 0326, 0262
100,  0696, 0616, 0614, 0336, 0337, 0283, 0283, 0338, 0339, 0341, 0336, 0268
110,  0743, 0657, 0653, 0349, 0349, 0297, 0295, 0349, 0353, 0352, 0349, 0270
120,  0790, 0694, 0692, 0359, 0360, 0295, 0296, 0361, 0362, 0359, 0359, 0273
130,  0838, 0735, 0732, 0371, 0372, 0306, 0308, 0373, 0374, 0379, 0372, 0275
140,  0885, 0773, 0772, 0383, 0385, 0308, 0308, 0385, 0390, 0388, 0383, 0285
150,  0933, 0814, 0811, 0396, 0396, 0313, 0314, 0396, 0396, 0399, 0396, 0283
160,  0980, 0852, 0851, 0407, 0407, 0319, 0321, 0409, 0410, 0407, 0407, 0287
170,  01028, 0893, 0890, 0418, 0419, 0325, 0325, 0419, 0424, 0426, 0420, 0290
180,  01075, 0929, 0929, 0431, 0433, 0330, 0330, 0433, 0431, 0436, 0431, 0297
190,  01122, 0971, 0969, 0443, 0444, 0338, 0336, 0444, 0446, 0445, 0444, 0299
200,  01169, 01011, 01008, 0455, 0456, 0343, 0343, 0456, 0459, 0455, 0454, 0303
