combine,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
10,551,289,265,259,270,270,264,255,256,255,252,258,,55.1,28.9,26.5,25.9,27,27,26.4,25.5,25.6,25.5,25.2,25.8
20,329,317,281,264,247,242,243,240,241,246,240,238,,16.45,15.85,14.05,13.2,12.35,12.1,12.15,12,12.05,12.3,12,11.9
30,378,325,311,257,261,254,259,251,251,251,243,241,,12.6,10.83333333,10.36666667,8.566666667,8.7,8.466666667,8.633333333,8.366666667,8.366666667,8.366666667,8.1,8.033333333
40,5875,350,344,266,253,249,244,248,250,249,245,245,,146.875,8.75,8.6,6.65,6.325,6.225,6.1,6.2,6.25,6.225,6.125,6.125
50,475,386,373,277,266,258,254,263,259,257,251,253,,9.5,7.72,7.46,5.54,5.32,5.16,5.08,5.26,5.18,5.14,5.02,5.06
60,515,413,406,290,264,262,255,256,262,257,254,254,,8.583333333,6.883333333,6.766666667,4.833333333,4.4,4.366666667,4.25,4.266666667,4.366666667,4.283333333,4.233333333,4.233333333
70,567,451,438,302,278,267,262,263,267,263,261,260,,8.1,6.442857143,6.257142857,4.314285714,3.971428571,3.814285714,3.742857143,3.757142857,3.814285714,3.757142857,3.728571429,3.714285714
80,606,477,469,314,276,275,267,264,265,262,262,262,,7.575,5.9625,5.8625,3.925,3.45,3.4375,3.3375,3.3,3.3125,3.275,3.275,3.275
90,654,508,502,325,290,274,271,273,275,276,266,269,,7.266666667,5.644444444,5.577777778,3.611111111,3.222222222,3.044444444,3.011111111,3.033333333,3.055555556,3.066666667,2.955555556,2.988888889
100,700,540,534,338,287,285,282,265,275,273,270,265,,7,5.4,5.34,3.38,2.87,2.85,2.82,2.65,2.75,2.73,2.7,2.65
110,748,571,565,349,301,287,282,274,284,281,273,272,,6.8,5.190909091,5.136363636,3.172727273,2.736363636,2.609090909,2.563636364,2.490909091,2.581818182,2.554545455,2.481818182,2.472727273
120,796,601,596,362,300,297,290,273,279,284,278,273,,6.633333333,5.008333333,4.966666667,3.016666667,2.5,2.475,2.416666667,2.275,2.325,2.366666667,2.316666667,2.275
130,843,635,629,372,314,300,295,281,284,286,281,276,,6.484615385,4.884615385,4.838461538,2.861538462,2.415384615,2.307692308,2.269230769,2.161538462,2.184615385,2.2,2.161538462,2.123076923
140,890,665,660,385,311,309,303,283,284,284,285,281,,6.357142857,4.75,4.714285714,2.75,2.221428571,2.207142857,2.164285714,2.021428571,2.028571429,2.028571429,2.035714286,2.007142857
150,937,698,691,396,319,315,309,288,291,291,289,288,,6.246666667,4.653333333,4.606666667,2.64,2.126666667,2.1,2.06,1.92,1.94,1.94,1.926666667,1.92
160,985,728,723,408,323,321,315,289,292,290,293,291,,6.15625,4.55,4.51875,2.55,2.01875,2.00625,1.96875,1.80625,1.825,1.8125,1.83125,1.81875
170,1032,817,755,420,328,327,322,298,300,306,295,293,,6.070588235,4.805882353,4.441176471,2.470588235,1.929411765,1.923529412,1.894117647,1.752941176,1.764705882,1.8,1.735294118,1.723529412
180,1080,787,786,432,336,333,327,297,298,300,300,297,,6,4.372222222,4.366666667,2.4,1.866666667,1.85,1.816666667,1.65,1.655555556,1.666666667,1.666666667,1.65
190,1127,824,818,443,341,340,331,306,306,308,303,301,,5.931578947,4.336842105,4.305263158,2.331578947,1.794736842,1.789473684,1.742105263,1.610526316,1.610526316,1.621052632,1.594736842,1.584210526
200,1174,855,849,456,347,346,339,305,308,306,313,305,,5.87,4.275,4.245,2.28,1.735,1.73,1.695,1.525,1.54,1.53,1.565,1.525
