
Hello World!  SSE Test
32, 1620, 670
64, 1094, 776
96, 1136, 690
128, 1326, 752
160, 1520, 792
192, 1718, 854
224, 1914, 890
256, 2108, 946
288, 2308, 1012
320, 2504, 1086
352, 2700, 1170
384, 2896, 1210
416, 3098, 1288
448, 3300, 1338
480, 3500, 1402
512, 3718, 1482
544, 3896, 1544
576, 4092, 1606
608, 4286, 1678
640, 4482, 1738
672, 4680, 1812
704, 4882, 1874
736, 5078, 1936
768, 5288, 1990
800, 5482, 2052
832, 5682, 2144
864, 5878, 2086
896, 6078, 2122
928, 6274, 2270
960, 6480, 2222
 Goodbye World!
