32, 1648, 660, 652, 666
64, 1102, 792, 770, 832
96, 1136, 700, 736, 744
128, 1318, 752, 788, 802
160, 1514, 798, 842, 854
192, 1710, 848, 904, 906
224, 1906, 894, 1036, 958
256, 2108, 944, 1088, 1036
288, 2306, 1002, 1194, 1180
320, 2496, 1058, 1196, 1344
352, 2738, 1140, 1336, 1306
384, 2902, 1150, 1402, 1520
416, 3104, 1208, 1478, 1432
448, 3298, 1260, 1584, 1670
480, 3494, 1316, 1618, 1810
512, 3700, 1370, 1804, 1754
544, 3896, 1430, 1728, 1928
576, 4092, 1468, 1790, 1812
608, 4288, 1524, 1844, 1808
640, 4482, 1570, 1928, 1948
672, 4680, 1612, 2076, 1976
704, 4896, 1692, 2024, 2184
736, 5092, 1732, 2352, 2366
768, 5288, 1784, 2320, 2280
800, 5484, 1842, 2526, 2380
832, 5690, 1896, 2348, 2572
864, 5872, 1938, 2634, 2598
896, 6074, 1988, 2630, 2660
928, 6272, 2036, 2874, 2728
960, 6490, 2084, 2900, 3018
