
Hello World!  SSE Test
32, 1822, 690, 766, 676, 1132
64, 1164, 758, 898, 800, 1344
96, 1154, 714, 796, 774, 1434
128, 1392, 760, 858, 876, 1716
160, 1526, 812, 924, 916, 1992
192, 1732, 858, 994, 994, 2274
224, 1932, 918, 1068, 1078, 2554
256, 2126, 970, 1246, 1272, 2844
288, 2328, 1024, 1334, 1226, 3128
320, 2524, 1066, 1372, 1314, 3410
352, 2720, 1116, 1364, 1372, 3692
384, 2922, 1164, 1554, 1450, 3974
416, 3136, 1234, 1530, 1610, 4264
448, 3342, 1318, 1796, 1630, 4550
480, 3518, 1356, 1744, 1868, 4838
512, 3714, 1390, 1946, 1860, 5114
544, 3912, 1460, 1990, 2028, 5396
576, 4106, 1492, 1896, 2012, 5678
608, 4302, 1528, 2100, 2070, 5960
640, 4500, 1598, 2050, 2160, 6246
672, 4696, 1630, 2206, 2156, 6528
704, 4900, 1688, 2282, 2234, 6814
736, 5090, 1750, 2444, 2380, 7096
768, 5302, 1826, 2438, 2614, 7378
800, 5498, 1852, 2484, 2470, 7658
832, 5684, 1898, 2690, 2548, 7942
864, 5878, 1928, 2700, 2626, 8222
896, 6088, 2004, 2672, 2762, 8504
928, 6298, 2048, 2762, 2784, 8812
960, 6482, 2114, 2884, 3008, 9108
 Goodbye World!
