100, 81486, 62882
200, 297942, 184042
300, 668146, 459414
400, 1240956, 809312
500, 1880054, 1466312
600, 2832246, 1882032
700, 3580366, 2568726
800, 9347006, 3398100
900, 6418192, 4871430
1000, 7864238, 5891850
1100, 9540062, 8061476
1200, 12039226, 8578028
1300, 13482844, 11465740
1400, 15945778, 11828616
1500, 18306140, 15091112
1600, 43990728, 15703472
1700, 23224838, 19274402
1800, 26711600, 19469318
1900, 29216752, 24024588
2000, 34063710, 24030100
2100, 36003574, 29697652
2200, 39899852, 30056970
2300, 44178780, 36514844
2400, 85075924, 35758276
2500, 50880548, 44368446
2600, 55611274, 42503228
2700, 59381994, 50116534
2800, 67348822, 48935350
2900, 73880538, 58629318
3000, 79368506, 55417512
3100, 78205618, 66161388
