
 Hello World -- vector examples

size, c4, c6_5,  c8,  c8_4
32, 3798, 1126, 1682, 1530
64, 1202, 1140, 1142, 1186
96, 1276, 1082, 1052, 1126
128, 1366, 1156, 1066, 1096
160, 1456, 1186, 1080, 1110
192, 1530, 1142, 1110, 1112
224, 1620, 1202, 1140, 1126
256, 1728, 1200, 1156, 1096
288, 1802, 1262, 1186, 1096
320, 1892, 1322, 1200, 1110
352, 1996, 1290, 1216, 1112
384, 2088, 1320, 1246, 1110
416, 2178, 1366, 1260, 1126
448, 2266, 1410, 1290, 1142
480, 2356, 1456, 1306, 1140
512, 2448, 1472, 1336, 1142
544, 2538, 1486, 1352, 1156
576, 2626, 1516, 1382, 1170
608, 2718, 1592, 1396, 1172
640, 2806, 1606, 1426, 1184
672, 2882, 1622, 1442, 1186
704, 2974, 1652, 1458, 1202
736, 3076, 1696, 1486, 1216
768, 3168, 1742, 1516, 1216
800, 3242, 1786, 1546, 1232
832, 3348, 1786, 1562, 1246
864, 3424, 1846, 1576, 1246
896, 3528, 1860, 1606, 1246
928, 3618, 1908, 1622, 1260
960, 3692, 1938, 1650, 1262
