
 Hello World -- vector examples

size, c4, c6_5,  c8,  c8_4, c8_2, c8_8
32, 2988, 1216, 1276, 1352, 1276, 1412
64, 1230, 1156, 1186, 1170, 1186, 1292
96, 1260, 1096, 1082, 1110, 1140, 1186
128, 1350, 1110, 1066, 1126, 1112, 1216
160, 1442, 1200, 1096, 1142, 1112, 1202
192, 1546, 1170, 1112, 1126, 1112, 1200
224, 1636, 1216, 1140, 1140, 1110, 1186
256, 1726, 1216, 1156, 1096, 1126, 1202
288, 1816, 1290, 1186, 1080, 1126, 1186
320, 1906, 1320, 1200, 1096, 1142, 1184
352, 1982, 1292, 1230, 1112, 1154, 1186
384, 2086, 1350, 1246, 1126, 1170, 1216
416, 2176, 1366, 1276, 1126, 1172, 1202
448, 2268, 1396, 1292, 1140, 1186, 1202
480, 2356, 1470, 1322, 1142, 1216, 1216
512, 2446, 1470, 1336, 1140, 1216, 1216
544, 2536, 1486, 1366, 1156, 1232, 1246
576, 2628, 1546, 1380, 1156, 1246, 1232
608, 2702, 1576, 1410, 1170, 1246, 1246
640, 2792, 1606, 1426, 1186, 1262, 1262
672, 2896, 1636, 1456, 1186, 1276, 1262
704, 2986, 1652, 1472, 1200, 1276, 1260
736, 3076, 1680, 1486, 1200, 1292, 1276
768, 3152, 1770, 1516, 1202, 1306, 1276
800, 3242, 1756, 1530, 1216, 1306, 1290
832, 3348, 1786, 1562, 1216, 1322, 1306
864, 3436, 1832, 1576, 1232, 1336, 1292
896, 3528, 1848, 1606, 1246, 1350, 1306
928, 3618, 1892, 1636, 1260, 1352, 1336
960, 3708, 1936, 1652, 1260, 1366, 8962
