
 Hello World -- dot product examples

size, d4, d5, d6_2, d6_5,  d8, d8_2, d8_4
16, 3258, 1320, 1140, 1352, 1396, 1156, 1472
32, 1052, 1186, 1096, 1096, 1080, 1036, 1006
48, 1096, 1096, 1052, 1186, 1082, 1052, 1066
64, 1110, 1112, 1096, 1172, 1066, 1066, 1036
80, 1156, 1172, 1156, 1216, 1036, 1036, 1036
96, 1216, 1216, 1170, 1170, 1066, 1050, 1036
112, 1262, 1246, 1202, 1200, 1080, 1080, 1052
128, 1322, 1292, 1290, 1276, 1080, 1050, 1050
144, 1366, 1336, 1290, 1336, 1112, 1066, 1080
160, 1426, 1396, 1336, 1368, 1124, 1096, 1080
176, 1470, 1426, 1410, 1410, 1140, 1096, 1080
192, 1516, 1486, 1412, 1380, 1156, 1110, 1096
208, 1576, 1516, 1440, 1502, 1170, 1126, 1126
224, 1606, 1560, 1516, 1472, 1202, 1140, 1096
240, 1680, 1622, 1532, 1592, 1216, 1156, 1126
256, 1726, 1666, 1576, 1546, 1232, 1156, 1126
272, 1786, 1710, 1636, 1622, 1246, 1170, 1140
288, 1816, 1740, 1652, 1608, 1260, 1186, 1142
304, 1876, 1802, 1696, 1682, 1292, 1200, 1156
320, 1922, 1832, 1772, 1666, 1306, 1216, 1156
336, 1982, 1890, 1772, 1742, 1320, 1216, 1186
352, 2026, 1936, 1816, 1728, 1336, 1216, 1186
368, 2086, 1996, 1876, 1756, 1352, 1246, 1200
384, 2118, 2028, 1892, 1876, 1382, 1260, 1200
400, 2160, 2056, 1936, 1846, 1382, 1262, 1216
416, 2222, 2102, 2010, 1906, 1396, 1276, 1230
432, 2266, 2148, 2028, 1892, 1412, 1290, 1232
448, 2342, 2190, 2056, 2026, 1440, 1322, 1246
464, 2386, 2238, 2132, 1982, 1456, 1322, 1260
480, 2432, 2280, 2146, 2102, 1472, 1320, 1262

16,  1496.0, 1496.0, 1496.0, 1496.0, 1496.0, 1496.0, 1496.0
32,  11440.0, 11440.0, 11440.0, 11440.0, 11440.0, 11440.0, 11440.0
48,  38024.0, 38024.0, 38024.0, 38024.0, 38024.0, 38024.0, 38024.0
64,  89440.0, 89440.0, 89440.0, 89440.0, 89440.0, 89440.0, 89440.0
80,  173880.0, 173880.0, 173880.0, 173880.0, 173880.0, 173880.0, 173880.0
96,  299536.0, 299536.0, 299536.0, 299536.0, 299536.0, 299536.0, 299536.0
112,  474600.0, 474600.0, 474600.0, 474600.0, 474600.0, 474600.0, 474600.0
128,  707264.0, 707264.0, 707264.0, 707264.0, 707264.0, 707264.0, 707264.0
144,  1005720.0, 1005720.0, 1005720.0, 1005720.0, 1005720.0, 1005720.0, 1005720.0
160,  1378160.0, 1378160.0, 1378160.0, 1378160.0, 1378160.0, 1378160.0, 1378160.0
176,  1832776.0, 1832776.0, 1832776.0, 1832776.0, 1832776.0, 1832776.0, 1832776.0
192,  2377760.0, 2377760.0, 2377760.0, 2377760.0, 2377760.0, 2377760.0, 2377760.0
208,  3021304.0, 3021304.0, 3021304.0, 3021304.0, 3021304.0, 3021304.0, 3021304.0
224,  3771600.0, 3771600.0, 3771600.0, 3771600.0, 3771600.0, 3771600.0, 3771600.0
240,  4636840.0, 4636840.0, 4636840.0, 4636840.0, 4636840.0, 4636840.0, 4636840.0
256,  5625216.0, 5625216.0, 5625216.0, 5625216.0, 5625216.0, 5625216.0, 5625216.0
272,  6744920.0, 6744920.0, 6744920.0, 6744920.0, 6744920.0, 6744920.0, 6744920.0
288,  8004144.0, 8004144.0, 8004144.0, 8004144.0, 8004144.0, 8004144.0, 8004144.0
304,  9411080.0, 9411080.0, 9411080.0, 9411080.0, 9411080.0, 9411080.0, 9411080.0
320,  10973920.0, 10973920.0, 10973920.0, 10973920.0, 10973920.0, 10973920.0, 10973920.0
336,  12700856.0, 12700856.0, 12700856.0, 12700856.0, 12700856.0, 12700856.0, 12700856.0
352,  14600080.0, 14600080.0, 14600080.0, 14600080.0, 14600080.0, 14600080.0, 14600080.0
368,  16679784.0, 16679784.0, 16679784.0, 16679784.0, 16679784.0, 16679784.0, 16679784.0
384,  18948152.0, 18948152.0, 18948160.0, 18948160.0, 18948160.0, 18948160.0, 18948160.0
400,  21413384.0, 21413384.0, 21413400.0, 21413400.0, 21413400.0, 21413400.0, 21413400.0
416,  24083672.0, 24083672.0, 24083696.0, 24083696.0, 24083696.0, 24083696.0, 24083696.0
432,  26967208.0, 26967208.0, 26967240.0, 26967240.0, 26967240.0, 26967240.0, 26967240.0
448,  30072184.0, 30072184.0, 30072224.0, 30072224.0, 30072224.0, 30072224.0, 30072224.0
464,  33406792.0, 33406792.0, 33406840.0, 33406840.0, 33406840.0, 33406840.0, 33406840.0
480,  36979224.0, 36979224.0, 36979272.0, 36979280.0, 36979280.0, 36979280.0, 36979280.0
