
Hello World!  SSE Test
32, 3918, 1456
64, 3048, 1786
96, 4024, 2132
128, 5044, 2522
160, 6080, 2942
192, 7086, 3332
224, 8106, 3738
256, 9126, 4160
288, 10148, 4564
320, 11170, 4954
352, 12190, 5374
384, 13210, 5780
416, 14230, 6170
448, 15266, 6576
480, 16272, 6996
512, 17294, 7386
544, 18314, 7792
576, 19336, 8212
608, 20372, 8602
640, 21376, 9006
672, 22398, 9428
704, 23418, 9818
736, 24440, 10222
768, 25458, 10644
800, 26480, 11048
832, 27502, 11438
864, 28538, 11860
896, 29558, 12264
928, 30580, 12654
960, 31586, 13060
 Goodbye World!
