
Hello World!  SSE Test
32, 4082, 1410, 1202, 1216, 1442
64, 3046, 1802, 1260, 1216, 1606
96, 4022, 2132, 1368, 1292, 1756
128, 5044, 2538, 1516, 1426, 2040
160, 6064, 2942, 1666, 1548, 2328
192, 7070, 3348, 1816, 1668, 2598
224, 8106, 3754, 1968, 1802, 2882
256, 9126, 4158, 2116, 1908, 3168
288, 10148, 4564, 2268, 2040, 3454
320, 11152, 4970, 2418, 2162, 3722
352, 12190, 5374, 2568, 2296, 4008
384, 13210, 5780, 2716, 2416, 4294
416, 14230, 6170, 2868, 2536, 4580
448, 15238, 6590, 3018, 2658, 4848
480, 16272, 6982, 3168, 2776, 5134
512, 17294, 7400, 3316, 2912, 5418
544, 18316, 7790, 3468, 3046, 5704
576, 19320, 8212, 3618, 3152, 5976
608, 20356, 8618, 3768, 3288, 6260
640, 21376, 9008, 3918, 3394, 6546
672, 22398, 9428, 4068, 3526, 6830
704, 23402, 9818, 4218, 3648, 7100
736, 24440, 10238, 4370, 3768, 7386
768, 25460, 10628, 4520, 3902, 7670
800, 26480, 11048, 4668, 4024, 7956
832, 27486, 11454, 4820, 4142, 8226
864, 28522, 11860, 4968, 4264, 8512
896, 29558, 12266, 5120, 4382, 8796
928, 30564, 12654, 5270, 4520, 9082
960, 31584, 13074, 5418, 4640, 9352
 Goodbye World!
