
 Hello World -- Transpose 

size,   ij,   ji, block = 10
100, 126640, 128396
200, 484894, 407282
300, 2946290, 4920250
400, 7680922, 11811504
500, 15238540, 26584132
600, 23778756, 37684482
700, 36026710, 49272966
800, 45643844, 62883056
900, 60633700, 83440706
1000, 78980094, 98871802
1100, 94867222, 128989944
1200, 114972358, 149875796
1300, 140462172, 165113076
1400, 173128758, 191075108
1500, 199068310, 223502218
1600, 277691482, 356165950
1700, 266409632, 310759154
1800, 316945030, 336162424
1900, 356444150, 405779962
2000, 395286230, 473219518
2100, 465250464, 550145842
2200, 525921766, 637809078
2300, 560095882, 713721482
2400, 733771158, 1003559376
2500, 681298400, 934320228
2600, 757316522, 1096476272
2700, 865137446, 1190593172
2800, 1099410714, 1316516454
2900, 1146849764, 1537369976
3000, 1328911892, 1704720934
3100, 1435193500, 1908170840
