Already up-to-date.

 Hello World -- Test OMP 

length, l^2, ijk, kij, jki
12, 179938, 623804, 2638, 11361, 1418, 9223
24, 246722, 79318, 5767, 16362, 3027, 7650
36, 516315, 135594, 15001, 25329, 5263, 8553
48, 907358, 230914, 31374, 39474, 10202, 10346
60, 1400954, 357984, 54122, 55033, 13370, 13539
72, 2057245, 507974, 82288, 75132, 17546, 15620
84, 2698790, 687477, 117266, 97855, 23151, 16844
96, 3593707, 904669, 164077, 127425, 29329, 21873
108, 4530463, 1148011, 224478, 161067, 38980, 25149
120, 5533938, 1406476, 290307, 202273, 46144, 29502
132, 6790057, 1703581, 369820, 239565, 61560, 38682
144, 8002933, 2013930, 461548, 293680, 72367, 41778
156, 9435855, 2372907, 573908, 338475, 82864, 45190
168, 11005272, 2740572, 677282, 408812, 97045, 52185
180, 12497940, 3155421, 797932, 459115, 108259, 63169
192, 14162580, 3582363, 935182, 521992, 130064, 63252
204, 15533564, 4037155, 1081224, 585428, 135205, 72752
216, 17198812, 4530189, 1243933, 656899, 141390, 84031
228, 18771102, 5304772, 1407164, 734353, 152856, 90331
240, 20785788, 5877036, 1606014, 815223, 169855, 102495
